item_number,description,color,gender,age,emotion
3626cpb2190,"Minifigure, Head Dark Brown Eyebrows and Small Moustache, Med. Nougat Sagging Lines Under Eyes and Chin Pattern",Light Nougat,male,young adult,neutral
3626cpb2167,"Minifigure, Head Dark Brown Eyebrows, Dark Orange Contour Lines and Chin Pattern",Light Nougat,neutral,young adult,neutral
3626cpb2710,"Minifigure, Head Dark Orange Brow Furrow, Black Sunglasses with White Stripes, Dark Brown Horseshoe Moustache Pattern",Light Nougat,male,young adult,neutral
3626cpb2223,"Minifigure, Head Dark Orange Bushy Eyebrows, Med. Nougat Facial Lines Pattern",Light Nougat,neutral,young adult,neutral
3626cpb2530,"Minifigure, Head Dark Purple Left Side with Red Eye and Magenta Swirls Pattern",Light Nougat,neutral,young adult,neutral
3626cpb1610,"Minifigure, Head Dark Tan Eyebrows, White Pupils, Eye Bags, Chin Dimple and Cheek Lines Pattern (Toni Kroos)",Light Nougat,neutral,older adult,neutral
3626cpb1608,"Minifigure, Head Dark Tan Eyebrows, White Pupils, Forehead and Cheek Lines, Chin Dimple Pattern (Bastian Schweinsteiger)",Light Nougat,neutral,young adult,neutral
3626cpb2685,"Minifigure, Head Dual Sided Gold Glasses, Dark Brown Eyebrows, Moustache, Goatee, Happy / Frown Pattern",Light Nougat,male,young adult,neutral
3626cpb1696,"Minifigure, Head Forehead Lines, Dark Bluish Gray Eyebrows and Moustache, Gold Lowered Eyeglasses Pattern",Light Nougat,male,young adult,neutral
3626bpb0071,"Minifigure, Head Glasses with Black Goggles, Gray Chin Strap Pattern (SW Imperial AT-ST Pilot)",Light Nougat,neutral,young adult,neutral
3626bpb0483,"Minifigure, Head Glasses with Bushy Moustache and Eyebrows Pattern (HP Flitwick)",Light Nougat,male,young adult,neutral
3626cpb0483,"Minifigure, Head Glasses with Bushy Moustache and Eyebrows Pattern (HP Flitwick)",Light Nougat,male,young adult,neutral
3626bpb0178,"Minifigure, Head Glasses with Monocle (Strapped) and Scars Pattern (HP Mad-Eye Moody)",Light Nougat,neutral,young adult,neutral
3626bpx66,"Minifigure, Head Glasses with Moustache Pattern",Light Nougat,male,young adult,neutral
3626cpb2353,"Minifigure, Head Gray Bushy Eyebrows, Stubble, Lines on Cheeks Pattern (Griff Halloran)",Light Nougat,male,young adult,neutral
3626cpb2189,"Minifigure, Head Light and Dark Bluish Gray Eyebrows Furrowed, Moustache, Beard, Silver Semicircle Glasses Pattern",Light Nougat,male,young adult,neutral
